,AMBITO,COMUNIDAD - MUNICIPIO,FECHA,FIESTA - LOCALIDAD,lat,lng
51,LOCAL,CORVERA DE ASTURIAS,2023-06-24,San Juan,43.53519000000006,-5.889249999999947
52,LOCAL,CORVERA DE ASTURIAS,2023-09-11,Fiestas Populares de Corvera,43.53519000000006,-5.889249999999947
53,LOCAL,CUDILLERO,2023-06-29,San Pedro,43.55899000000005,-6.14901999999995
54,LOCAL,CUDILLERO,2023-07-26,Santa Ana,43.55899000000005,-6.14901999999995
55,LOCAL,DEGAÑA,2023-07-25,Santiago,26.897000000000048,74.31813000000005
56,LOCAL,DEGAÑA,2023-08-16,San Roque,26.897000000000048,74.31813000000005
57,LOCAL,EL FRANCO,2023-09-09,Día posterior a Ntra. Sra. De los Remedios,43.55836000000005,-6.873699999999928
58,LOCAL,EL FRANCO,2023-09-29,Festividad de San Miguel,43.55836000000005,-6.873699999999928
59,LOCAL,GIJÓN,2023-02-21,Carnaval/Antroxu,43.54207000000008,-5.663769999999943
60,LOCAL,GIJÓN,2023-06-29,San Pedro,43.54207000000008,-5.663769999999943
61,LOCAL,GOZÓN,2023-02-06,Fiesta del Cristo del Socorro,43.61406000000005,-5.7966899999999555
62,LOCAL,GOZÓN,2023-07-17,Festividad de la Virgen del Carmen,43.61406000000005,-5.7966899999999555
63,LOCAL,GRADO,2023-07-25,Festividad de Santiago,43.38906000000003,-6.071029999999951
64,LOCAL,GRADO,2023-07-27,Traslado Festividad de Santa Ana,43.38906000000003,-6.071029999999951
65,LOCAL,GRANDAS DE SALIME,2023-06-23,Víspera de San  Juan,43.218270000000075,-6.875789999999938
66,LOCAL,GRANDAS DE SALIME,2023-08-07,Día de la Jira-Fiesta de el Salvador,43.218270000000075,-6.875789999999938
67,LOCAL,IBIAS,2023-08-14,San Donato,43.03810000000004,-6.87310999999994
68,LOCAL,IBIAS,2023-09-04,Santo Antolín,43.03810000000004,-6.87310999999994
69,LOCAL,ILLANO,2023-02-21,Martes de Carnaval,43.33432000000005,-6.864609999999971
70,LOCAL,ILLANO,2023-08-28,San Agustín,43.33432000000005,-6.864609999999971
71,LOCAL,ILLAS,2023-04-10,Lunes de Pascua,43.49581000000006,-5.9681999999999675
72,LOCAL,ILLAS,2023-08-28,San Agustín,43.49581000000006,-5.9681999999999675
73,LOCAL,LANGREO,2023-06-29,San Pedro,43.288410000000056,-5.669269999999926
74,LOCAL,LANGREO,2023-07-25,Santiago,43.288410000000056,-5.669269999999926
75,LOCAL,LAS REGUERAS,2023-02-21,Martes de Carnaval,43.414280000000076,-5.968559999999968
76,LOCAL,LAS REGUERAS,2023-06-13,San Antonio,43.414280000000076,-5.968559999999968
77,LOCAL,LAVIANA,2023-02-21,Martes de Carnaval,43.24879000000004,-5.5631499999999505
78,LOCAL,LAVIANA,2023-08-16,Jira,43.24879000000004,-5.5631499999999505
79,LOCAL,LENA,2023-04-17,Festividad de La Flor,72.38837000000007,126.70604000000003
80,LOCAL,LENA,2023-10-16,Festividad de Las Ferias,72.38837000000007,126.70604000000003
81,LOCAL,LLANERA,2023-02-21,Festividad del Antroxu,15.638100000000065,121.02017000000001
82,LOCAL,LLANERA,2023-05-15,Festividad de San Isidro Labrador,15.638100000000065,121.02017000000001
83,LOCAL,LLANES,2023-07-22,La Magdalena en Llanes y Concejo,43.41592000000003,-4.7533299999999485
84,LOCAL,LLANES,2023-07-25,Santiago en Posada y Parroquia,43.41592000000003,-4.7533299999999485
85,LOCAL,LLANES,2023-08-05,El Henar en Nueva y Valle de San Jorge,43.41592000000003,-4.7533299999999485
86,LOCAL,LLANES,2023-08-16,San Roque Llanes y Concejo,43.41592000000003,-4.7533299999999485
87,LOCAL,LLANES,2023-09-14,El Cristo en Nueva y Valle de San Jorge,43.41592000000003,-4.7533299999999485
88,LOCAL,LLANES,2023-12-13,Santa en Lucía Posada y Parroquia,43.41592000000003,-4.7533299999999485
89,LOCAL,MIERES,2023-06-24,"San Juan, todo el Municipio excepto en el Valle de Turón",43.250500000000045,-5.772009999999966
90,LOCAL,MIERES,2023-09-14,"Santísimo Cristo de la Paz, en el valle de Turón",43.250500000000045,-5.772009999999966
91,LOCAL,MIERES,2023-09-27,"Mártires de Valdecuna, San Cosme y San Damián, en todo el Municipio",43.250500000000045,-5.772009999999966
92,LOCAL,MORCÍN,2023-01-17,San Antón,43.28093000000007,-5.879929999999945
93,LOCAL,MORCÍN,2023-06-13,San Antonio,43.28093000000007,-5.879929999999945
94,LOCAL,MUROS DE NALÓN,2023-06-13,Festividad de San Antonio,43.54207000000008,-6.103559999999959
95,LOCAL,MUROS DE NALÓN,2023-07-17,Lunes posterior a Ntra. Sra. del Carmen,43.54207000000008,-6.103559999999959
96,LOCAL,NAVA,2023-07-10,Festival de la Sidra,27.024430000000052,75.00196000000005
97,LOCAL,NAVA,2023-08-28,San Bartolomé,27.024430000000052,75.00196000000005
98,LOCAL,NAVIA,2023-08-16,San Roque,43.54073000000005,-6.724489999999946
99,LOCAL,NAVIA,2023-09-07,Víspera La Atalaya en Puerto de Vega,43.54073000000005,-6.724489999999946
100,LOCAL,NOREÑA,2023-05-24,Festividad de San Marcos,43.40013000000005,-5.702039999999954
101,LOCAL,NOREÑA,2023-09-18,Festividad del Ecce-Homo,43.40013000000005,-5.702039999999954
102,LOCAL,ONÍS,2023-06-23,San Juan,43.335030000000074,-4.967179999999928
